folio_recepcion,fecha_recepcion,estado_final_lm,count
2024200352,2024-05-16 10:19:00.000000,3,1
2024200353,2024-05-16 17:05:00.000000,3,1
2024200355,2024-05-16 17:53:00.000000,3,1
2024200356,2024-05-16 17:52:00.000000,3,1
2024200357,2024-05-16 17:32:00.000000,3,1
2024200362,2024-05-16 00:05:00.000000,3,1
2024200364,2024-05-16 17:10:00.000000,3,1
2024200366,2024-05-16 14:50:00.000000,3,1
2024200367,2024-05-16 18:03:00.000000,3,1
2024200368,2024-05-16 11:45:00.000000,3,1
2024200369,2024-05-16 14:13:00.000000,3,1
2024200370,2024-05-16 12:27:00.000000,3,1
2024200375,2024-05-16 12:19:00.000000,3,1
2024200378,2024-05-16 18:05:00.000000,3,1
2024200380,2024-05-16 17:45:00.000000,3,1
2024200381,2024-05-16 18:00:00.000000,3,1
2024200382,2024-05-16 16:46:00.000000,3,1
2024200383,2024-05-16 17:56:00.000000,6,1
2024200386,2024-05-16 10:43:00.000000,3,1
2024200387,2024-05-16 11:14:00.000000,3,1
2024200388,2024-05-16 17:05:00.000000,3,1
2024200392,2024-05-16 17:00:00.000000,3,1
2024200393,2024-05-16 17:11:00.000000,3,1
2024200395,2024-05-16 12:18:00.000000,3,1
2024200396,2024-05-16 17:17:00.000000,3,1
2024200398,2024-05-16 17:00:00.000000,3,1
2024200399,2024-05-16 17:06:00.000000,3,1
2024200401,2024-05-16 16:49:00.000000,3,1
2024200402,2024-05-16 10:47:00.000000,6,1
2024200404,2024-05-16 17:32:00.000000,6,1
2024200407,2024-05-16 11:10:00.000000,3,1
2024200413,2024-05-16 16:53:00.000000,3,1
2024200414,2024-05-16 11:39:00.000000,3,1
2024200415,2024-05-16 00:05:00.000000,3,1
2024200416,2024-05-16 16:58:00.000000,3,1
2024200419,2024-05-16 00:05:00.000000,6,1
2024200420,2024-05-16 17:59:00.000000,3,1
2024200421,2024-05-16 07:47:00.000000,3,1
2024200422,2024-05-16 16:59:00.000000,6,1
2024200423,2024-05-16 14:14:00.000000,3,1
2024200424,2024-05-16 17:35:00.000000,3,1
2024200425,2024-05-16 20:03:00.000000,3,1
2024200428,2024-05-16 16:47:00.000000,3,1
2024200429,2024-05-16 19:03:00.000000,6,1
2024200430,2024-05-16 17:50:00.000000,3,1
2024200431,2024-05-16 16:57:00.000000,3,1
2024200432,2024-05-16 17:30:00.000000,3,1
2024200433,2024-05-16 11:48:00.000000,3,1
2024200434,2024-05-16 16:44:00.000000,3,1
2024200436,2024-05-16 17:54:00.000000,3,1
2024200437,2024-05-16 08:02:00.000000,3,1
2024200438,2024-05-16 12:26:00.000000,3,1
2024200444,2024-05-16 17:40:00.000000,3,1
2024200445,2024-05-16 17:37:00.000000,3,1
2024200446,2024-05-16 10:24:00.000000,3,1
2024200449,2024-05-16 10:26:00.000000,4,1
2024200450,2024-05-16 10:36:00.000000,6,1
2024200452,2024-05-16 19:41:00.000000,3,1
2024200453,2024-05-16 11:06:00.000000,3,1
2024200454,2024-05-16 17:40:00.000000,3,1
