"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024466027",6,2024-04-12 08:06:00.000,2024-04-15 20:17:19.417
"2024462026",6,2024-04-16 08:08:00.000,2024-04-17 19:17:06.822
"2024466096",3,2024-04-12 08:06:00.000,2024-04-15 20:18:45.578
"2024469027",3,2024-04-11 10:55:00.000,2024-04-17 22:17:08.632
"2024473393",6,2024-04-10 15:33:00.000,2024-04-10 23:16:22.553
"2024478794",6,2024-04-11 10:55:00.000,2024-04-17 22:19:33.536
"2024475490",3,2024-04-08 15:31:00.000,2024-04-10 23:16:49.283
"2024461834",3,2024-04-15 18:11:00.000,2024-04-18 21:20:56.699
"2024481475",3,2024-04-04 15:48:00.000,2024-04-10 23:18:24.015
"2024476355",3,2024-04-05 15:51:00.000,2024-04-10 23:16:57.109
"2024479781",4,2024-04-04 09:10:00.000,2024-04-10 18:27:12.040
"2024462543",6,2024-04-16 08:08:00.000,2024-04-17 19:21:18.352
"2024466685",3,2024-04-15 18:14:00.000,2024-04-19 20:16:38.669
"2024475291",3,2024-04-08 09:11:00.000,2024-04-10 18:18:27.769
"2024476949",6,2024-04-05 15:52:00.000,2024-04-10 23:18:06.096
"2024473814",3,2024-04-10 08:01:00.000,2024-04-11 18:22:32.510
"2024462098",3,2024-04-16 08:08:00.000,2024-04-17 19:17:27.565
"2024475262",3,2024-04-08 09:11:00.000,2024-04-10 18:18:06.218
"2024473673",6,2024-04-10 08:01:00.000,2024-04-11 18:21:15.306
"2024475410",6,2024-04-08 19:54:00.000,2024-04-12 16:17:33.063
"2024473943",6,2024-04-10 08:01:00.000,2024-04-11 18:24:30.944
"2024494565",3,2024-04-25 08:10:00.000,2024-04-26 21:29:48.694
"2024475654",3,2024-04-08 20:04:00.000,2024-04-12 16:17:41.961
"2024482712",3,2024-04-08 20:00:00.000,2024-04-12 16:19:11.917
"2024475379",6,2024-04-08 19:55:00.000,2024-04-12 16:17:18.223
"2024486107",6,2024-04-30 09:05:00.000,2024-05-07 22:23:45.649
"2024494076",6,2024-04-24 00:01:00.000,2024-04-25 13:16:59.449
"2024475727",3,2024-04-08 18:27:00.000,2024-04-12 16:17:47.676
"2024476643",3,2024-04-05 18:19:00.000,2024-04-12 16:18:05.232
"2024473816",3,2024-04-10 18:42:00.000,2024-04-12 16:16:09.687
"2024482179",3,2024-04-05 17:58:00.000,2024-04-12 16:18:42.471
"2024475090",3,2024-04-08 19:05:00.000,2024-04-12 16:16:31.090
"2024482663",3,2024-04-08 19:11:00.000,2024-04-12 16:19:05.047
"2024475167",3,2024-04-08 17:48:00.000,2024-04-12 16:16:51.284
"2024475260",6,2024-04-08 17:49:00.000,2024-04-12 16:17:12.825
"2024476371",3,2024-04-05 15:56:00.000,2024-04-11 03:16:59.058
"2024473689",6,2024-04-10 08:01:00.000,2024-04-11 18:21:51.109
"2024473696",3,2024-04-10 08:01:00.000,2024-04-11 18:22:02.273
"2024472904",6,2024-04-10 00:01:00.000,2024-04-15 16:19:20.384
"2024473778",4,2024-04-10 08:01:00.000,2024-04-11 18:22:20.114
"2024482310",4,2024-04-05 15:57:00.000,2024-04-10 23:18:54.761
"2024482027",3,2024-04-05 15:59:00.000,2024-04-10 23:18:30.854
"2024482093",6,2024-04-05 15:53:00.000,2024-04-10 23:18:46.486
"2024495299",6,2024-04-24 00:01:00.000,2024-04-25 13:17:29.878
"2024462780",3,2024-04-16 08:07:00.000,2024-04-17 18:21:35.404
"2024461945",3,2024-04-16 08:08:00.000,2024-04-17 19:16:33.442
"2024462564",6,2024-04-16 08:08:00.000,2024-04-17 19:21:26.133
"2024462489",6,2024-04-16 08:08:00.000,2024-04-17 19:20:40.296
"2024469567",6,2024-04-11 10:56:00.000,2024-04-17 22:18:15.165
"2024478747",4,2024-04-11 10:56:00.000,2024-04-17 22:19:16.898
"2024466350",6,2024-04-12 00:01:00.000,2024-04-17 17:20:13.344
"2024468255",6,2024-04-22 00:01:00.000,2024-04-23 14:16:47.901
"2024478231",3,2024-04-09 09:13:00.000,2024-04-10 19:24:12.800
"2024475644",6,2024-04-08 09:13:00.000,2024-04-10 19:20:21.372
"2024491688",3,2024-04-30 09:06:00.000,2024-05-07 22:38:30.671
"2024478568",3,2024-04-09 09:12:00.000,2024-04-10 19:24:51.139
"2024494753",3,2024-04-25 08:09:00.000,2024-04-26 19:25:10.645
"2024468839",6,2024-04-23 00:01:00.000,2024-04-29 07:16:05.182
"2024462441",3,2024-04-16 08:09:00.000,2024-04-17 19:19:45.160
"2024475915",3,2024-04-08 09:13:00.000,2024-04-10 19:22:18.748
"2024462001",3,2024-04-16 08:09:00.000,2024-04-17 19:16:50.767
"2024462300",6,2024-04-16 08:09:00.000,2024-04-17 19:18:35.302
"2024462486",3,2024-04-16 08:09:00.000,2024-04-17 19:20:19.865
"2024451918",6,2024-04-01 00:01:00.000,2024-04-02 12:16:24.553
"2024460599",6,2024-04-02 00:01:00.000,2024-04-04 20:26:55.893
"2024476825",3,2024-04-05 16:24:00.000,2024-04-11 03:17:42.086
"2024473685",3,2024-04-10 08:01:00.000,2024-04-11 18:21:42.926
"2024482023",3,2024-04-05 16:24:00.000,2024-04-11 03:18:27.969
"2024473894",3,2024-04-10 08:01:00.000,2024-04-11 18:23:31.318
"2024481995",6,2024-04-04 00:01:00.000,2024-04-09 16:21:02.798
"2024480760",6,2024-04-22 00:01:00.000,2024-04-26 13:16:18.624
"2024475445",3,2024-04-08 09:13:00.000,2024-04-10 19:18:51.580
"2024476017",3,2024-04-04 11:38:00.000,2024-04-10 22:22:33.693
"2024475922",3,2024-04-08 09:13:00.000,2024-04-10 19:22:26.332
"2024473637",3,2024-04-10 08:02:00.000,2024-04-11 18:20:35.662
"2024478578",3,2024-04-09 09:13:00.000,2024-04-10 19:24:57.955
"2024473827",3,2024-04-10 08:02:00.000,2024-04-11 18:22:49.287
"2024473803",3,2024-04-10 08:02:00.000,2024-04-11 18:22:26.175
"2024473891",3,2024-04-10 08:02:00.000,2024-04-11 18:23:19.197
"2024473846",3,2024-04-10 08:01:00.000,2024-04-11 18:23:11.670
"2024473935",3,2024-04-10 08:02:00.000,2024-04-11 18:24:07.538
"2024476426",3,2024-04-05 16:30:00.000,2024-04-10 23:17:34.331
"2024482590",3,2024-04-05 16:20:00.000,2024-04-10 23:19:02.938
"2024474640",6,2024-04-19 00:01:00.000,2024-04-22 14:18:36.691
"2024475081",3,2024-04-08 09:13:00.000,2024-04-10 19:16:51.343
"2024473664",3,2024-04-10 08:02:00.000,2024-04-11 18:21:09.992
"2024475825",3,2024-04-08 17:59:00.000,2024-04-15 17:22:20.945
"2024498292",6,2024-04-26 00:01:00.000,2024-05-02 14:20:02.699
"2024473209",6,2024-04-10 18:31:00.000,2024-04-15 17:21:09.851
"2024476732",6,2024-04-05 00:01:00.000,2024-04-05 16:26:41.930
"2024472237",4,2024-04-09 18:16:00.000,2024-04-15 17:17:24.485
"2024478516",3,2024-04-09 09:14:00.000,2024-04-10 19:24:37.646
"2024475026",3,2024-04-08 09:13:00.000,2024-04-10 19:16:30.803
"2024475478",3,2024-04-08 09:13:00.000,2024-04-10 19:19:37.155
"2024473920",3,2024-04-10 08:02:00.000,2024-04-11 18:23:55.617
"2024482751",3,2024-04-08 09:13:00.000,2024-04-10 19:26:21.970
"2024473119",3,2024-04-10 18:34:00.000,2024-04-15 17:20:23.583
"2024472553",3,2024-04-09 19:11:00.000,2024-04-15 17:18:05.502
"2024473020",3,2024-04-10 18:35:00.000,2024-04-15 17:20:13.742
"2024473652",3,2024-04-10 18:36:00.000,2024-04-15 17:21:58.856
"2024482665",3,2024-04-08 22:10:00.000,2024-04-15 17:24:27.792
"2024184367",3,2024-04-11 09:08:00.000,2024-04-15 17:16:23.954
"2024472643",3,2024-04-09 22:38:00.000,2024-04-15 17:18:53.411
"2024481312",3,2024-04-03 00:01:00.000,2024-04-08 06:16:48.563
"2024478144",6,2024-04-09 23:25:00.000,2024-04-15 17:22:43.350
"2024478259",3,2024-04-09 22:40:00.000,2024-04-15 17:22:59.951
"2024478080",3,2024-04-09 00:08:00.000,2024-04-15 20:28:20.163
"2024478163",3,2024-04-09 00:09:00.000,2024-04-15 20:28:34.682
"2024478245",3,2024-04-09 00:08:00.000,2024-04-15 20:29:38.912
"2024494256",3,2024-04-25 14:34:00.000,2024-05-02 14:16:26.803
"2024472032",3,2024-04-09 06:04:00.000,2024-04-15 20:24:27.958
"2024478225",3,2024-04-09 06:10:00.000,2024-04-15 20:29:21.633
"2024472258",6,2024-04-09 07:33:00.000,2024-04-15 20:24:51.246
"2024472362",3,2024-04-09 06:56:00.000,2024-04-15 20:25:26.354
"2024478458",3,2024-04-09 07:17:00.000,2024-04-15 20:30:15.770
"2024475280",3,2024-04-08 09:14:00.000,2024-04-10 19:17:52.493
"2024475757",3,2024-04-08 09:14:00.000,2024-04-10 19:21:07.868
"2024475347",6,2024-04-08 09:13:00.000,2024-04-10 19:18:19.581
"2024462003",3,2024-04-16 08:09:00.000,2024-04-17 19:16:56.442
"2024475738",3,2024-04-08 09:14:00.000,2024-04-10 19:21:00.928
"2024462716",3,2024-04-16 08:09:00.000,2024-04-17 19:22:04.886
"2024462323",6,2024-04-16 08:09:00.000,2024-04-17 19:18:49.791
"2024469961",3,2024-04-12 15:51:00.000,2024-04-18 20:21:22.737
"2024480886",6,2024-04-22 00:01:00.000,2024-04-23 14:21:29.405
"2024466950",6,2024-04-15 00:01:00.000,2024-04-16 13:16:51.450
"2024476195",3,2024-04-04 09:15:00.000,2024-04-10 19:23:14.223
"2024475299",3,2024-04-08 09:15:00.000,2024-04-10 19:18:12.703
"2024476444",3,2024-04-05 16:34:00.000,2024-04-10 23:17:39.516
"2024475462",3,2024-04-08 09:14:00.000,2024-04-10 19:19:23.259
"2024478028",3,2024-04-08 09:15:00.000,2024-04-10 19:23:32.103
"2024475550",4,2024-04-08 09:14:00.000,2024-04-10 19:19:50.178
"2024476380",4,2024-04-05 16:31:00.000,2024-04-10 23:17:27.217
"2024473895",3,2024-04-10 08:02:00.000,2024-04-11 18:23:41.158
"2024476695",3,2024-04-05 16:33:00.000,2024-04-10 23:17:50.477
"2024462337",4,2024-04-16 08:09:00.000,2024-04-17 19:19:09.419
"2024475875",6,2024-04-08 00:01:00.000,2024-04-12 17:22:02.257
"2024475017",3,2024-04-08 09:15:00.000,2024-04-10 19:16:16.654
"2024475437",6,2024-04-08 09:15:00.000,2024-04-10 19:18:45.764
"2024475019",3,2024-04-08 09:15:00.000,2024-04-10 19:16:23.360
"2024475582",3,2024-04-08 09:15:00.000,2024-04-10 19:19:56.973
"2024475446",3,2024-04-08 09:15:00.000,2024-04-10 19:18:58.067
"2024473627",3,2024-04-10 08:02:00.000,2024-04-11 18:20:28.319
"2024462094",6,2024-04-16 08:09:00.000,2024-04-17 19:17:22.334
"2024473940",6,2024-04-10 08:02:00.000,2024-04-11 18:24:22.862
"2024462280",3,2024-04-16 08:09:00.000,2024-04-17 19:18:26.838
"2024481611",3,2024-04-04 11:38:00.000,2024-04-10 22:35:11.668
"2024479959",3,2024-04-04 09:15:00.000,2024-04-10 19:25:04.884
