"folio_recepcion","cantidad_items","cantidad_lm","cantidad_ls"
"2023044061",3,28,16
"2023478807",30,28,16
"2024366848",3,28,16
"2024356666",3,28,16
"2023478907",11,28,16
"2024366106",12,28,16
"2024354305",24,28,16
"2023470993",18,28,16
"2024372216",6,28,16
"2024357138",38,28,16
"2024362447",5,28,16
"2023470389",3,28,16
"2024361342",7,28,16
"2023459590",8,28,16
"2024356917",6,28,16
"2024364159",6,28,16
"2023476714",3,28,16
"2023476425",3,28,16
"2024352491",46,28,16
"2024365532",13,28,16
"2024352409",34,28,16
"2024363854",15,28,16
"2023478033",3,28,16
"2023475449",23,28,16
"2024353746",12,28,16
"2024372101",26,28,16
"2024366485",5,28,16
"2024357051",3,28,16
"2023455836",3,28,16
"2023459286",7,28,16
"2024372439",5,28,16
"2024184014",6,28,16
"2024363338",3,28,16
"2024350814",15,28,16
"2024352552",3,28,16
"2023455035",14,28,16
"2024353137",27,28,16
"2023464782",3,28,16
"2024357657",11,28,16
"2023476732",6,28,16
"2024365010",7,28,16
"2024361155",3,28,16
"2024363227",12,28,16
"2024350937",8,28,16
"2024364585",29,28,16
"2024360832",9,28,16
"2024360247",31,28,16
"2023476552",5,28,16
"2024356100",11,28,16
"2024357111",16,28,16
"2023476999",14,28,16
"2023478833",21,28,16
"2023476757",43,28,16
"2024353752",3,28,16
"2023477546",17,28,16
"2024365985",17,28,16
"2024350115",10,28,16
"2023459400",22,28,16
"2024353449",20,28,16
"2023476239",3,28,16
"2024359938",7,28,16
"2023460995",34,28,16
"2024352190",3,28,16
"2024363336",3,28,16
"2024357967",8,28,16
"2023476888",19,28,16
"2023476884",25,28,16
"2024365096",7,28,16
"2024352454",24,28,16
"2024358395",11,28,16
"2024353020",13,28,16
"2024365810",26,28,16
"2024013015",3,28,16
"2024350003",30,28,16
"2024357005",8,28,16
"2023462863",24,28,16
"2024354107",29,28,16
"2024365404",11,28,16
"2024351929",17,28,16
"2023464898",37,28,16
"2024363771",10,28,16
"2024352037",11,28,16
"2024366254",3,28,16
"2023475782",19,28,16
"2023477274",17,28,16
