"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024496716",3,2024-05-14 10:19:00.000,2024-05-16 17:38:56.873
"2024044012",6,2024-05-16 08:46:00.000,2024-05-22 20:16:22.730
"2024493871",6,2024-05-08 00:01:00.000,2024-05-13 22:34:09.411
"2024201915",6,2024-05-16 00:01:00.000,2024-05-17 23:17:05.884
"2024224017",6,2024-05-16 00:01:00.000,2024-05-21 02:16:16.050
"2024496919",4,2024-05-14 10:14:00.000,2024-05-16 15:20:37.908
"2024499882",6,2024-05-20 00:01:00.000,2024-05-27 05:16:24.561
"2024499613",6,2024-05-14 00:01:00.000,2024-05-15 15:19:16.111
"2024487261",6,2024-05-02 00:01:00.000,2024-05-03 14:17:20.976
"2024487299",3,2024-05-02 09:07:00.000,2024-05-07 22:28:39.359
"2024485342",6,2024-05-07 00:01:00.000,2024-05-13 02:16:07.763
"2024225889",6,2024-05-23 00:01:00.000,2024-05-24 13:17:28.421
"2024204703",6,2024-05-09 19:02:00.000,2024-05-15 21:18:21.888
"2024496393",3,2024-05-09 19:01:00.000,2024-05-15 21:28:33.211
"2024484176",3,2024-05-07 09:58:00.000,2024-05-14 15:18:52.295
"2024209619",6,2024-05-22 00:01:00.000,2024-05-28 03:16:20.926
"2024204272",3,2024-05-09 16:17:00.000,2024-05-15 21:17:00.846
"2024496185",3,2024-05-09 19:54:00.000,2024-05-15 21:27:23.812
"2024496443",3,2024-05-09 19:58:00.000,2024-05-15 21:28:46.494
"2024217245",6,2024-05-29 00:01:00.000,2024-05-30 19:27:03.614
"2024207288",6,2024-05-10 00:01:00.000,2024-05-13 14:16:51.470
"2024228285",6,2024-05-24 00:01:00.000,2024-05-27 15:18:07.596
"2024210531",6,2024-05-13 00:01:00.000,2024-05-16 21:27:36.728
"2024201860",6,2024-05-16 00:01:00.000,2024-05-17 22:17:30.706
"2024224275",6,2024-05-17 08:46:00.000,2024-05-22 23:28:09.175
"2024200318",3,2024-05-16 17:50:00.000,2024-05-20 18:18:16.954
"2024216162",6,2024-05-28 00:01:00.000,2024-05-31 18:28:02.337
"2024204789",6,2024-05-09 16:26:00.000,2024-05-15 21:19:19.590
"2024496057",3,2024-05-09 16:49:00.000,2024-05-15 21:26:56.072
"2024485713",6,2024-05-08 00:01:00.000,2024-05-13 22:33:31.998
"2024496430",3,2024-05-09 17:10:00.000,2024-05-15 21:28:40.012
"2024485394",3,2024-05-08 16:24:00.000,2024-05-14 20:19:57.119
"2024493144",4,2024-05-08 13:02:00.000,2024-05-14 20:21:19.238
"2024493324",3,2024-05-08 13:02:00.000,2024-05-14 20:22:11.423
"2024484452",6,2024-05-07 00:01:00.000,2024-05-09 16:16:21.944
"2024493876",6,2024-05-08 00:01:00.000,2024-05-09 13:17:02.463
"2024219174",6,2024-05-28 00:01:00.000,2024-05-29 13:17:36.096
"2024499973",6,2024-05-20 00:01:00.000,2024-05-27 15:18:51.721
"2024228714",6,2024-05-24 00:01:00.000,2024-05-27 14:16:12.212
"2024203717",3,2024-05-28 08:04:00.000,2024-05-30 15:19:32.108
"2024483149",6,2024-05-06 00:01:00.000,2024-05-10 17:16:22.550
"2024207065",6,2024-05-10 00:01:00.000,2024-05-13 14:16:29.582
"2024204651",6,2024-05-09 00:01:00.000,2024-05-10 14:16:44.617
"2024212771",6,2024-05-23 00:01:00.000,2024-05-24 14:17:35.898
"2024202208",6,2024-05-27 00:01:00.000,2024-05-28 13:17:37.895
"2024204659",6,2024-05-09 00:01:00.000,2024-05-10 14:16:45.629
"2024217789",6,2024-05-29 00:01:00.000,2024-05-30 19:28:15.500
"2024208608",3,2024-05-14 09:59:00.000,2024-05-15 22:17:15.638
"2024496171",3,2024-05-09 09:59:00.000,2024-05-15 22:20:10.884
"2024212769",6,2024-05-23 00:01:00.000,2024-05-24 15:17:41.728
"2024201249",6,2024-05-16 00:01:00.000,2024-05-22 16:16:21.921
"2024202706",6,2024-05-27 00:01:00.000,2024-05-28 13:18:08.746
"2024159075",6,2024-05-16 08:47:00.000,2024-05-22 18:16:32.970
"2024210466",6,2024-05-13 00:01:00.000,2024-05-17 01:16:31.485
"2024487328",6,2024-05-02 00:01:00.000,2024-05-03 14:17:26.092
"2024200584",6,2024-05-16 00:01:00.000,2024-05-17 23:16:14.294
"2024493848",6,2024-05-08 00:01:00.000,2024-05-09 13:16:54.805
